code,system
H81.0,icd10
H81.8,icd10
H81,icd10
H81.2,icd10
H61.9,icd10
H91.8,icd10
H66.1,icd10
H66.9,icd10
H73.8,icd10
H69.8,icd10
H69.9,icd10
H74.9,icd10
H80.9,icd10
H66,icd10
H75.8,icd10
H66.4,icd10
H93.9,icd10
H73.9,icd10
H60.9,icd10
H90.2,icd10
H83.8,icd10
H74.8,icd10
H66.3,icd10
H65.9,icd10
H72.9,icd10
H90.5,icd10
H83.9,icd10
H61.8,icd10
H93.8,icd10
H91.9,icd10
H81.9,icd10
H66.2,icd10
H71,icd10
H71.X,icd10
H60.4,icd10
H74.0,icd10
H74.4,icd10
H74.1,icd10
H74,icd10
H75,icd10
H69.0,icd10
H69,icd10
H60.2,icd10
H61.2,icd10
H61.0,icd10
H62.4,icd10
H60.1,icd10
H60.0,icd10
H60.8,icd10
H60,icd10
H62,icd10
H61,icd10
H62.2,icd10
H62.8,icd10
H93.0,icd10
H67,icd10
H93,icd10
H93.1,icd10
H67.8,icd10
H91.3,icd10
H93.2,icd10
H93.3,icd10
H91.0,icd10
H91,icd10
H91.2,icd10
H91.1,icd10
H62.3,icd10
H75.0,icd10
H60.3,icd10
H60.5,icd10
H61.1,icd10
H90,icd10
H67.1,icd10
H62.1,icd10
H70.8,icd10
H70.1,icd10
H70,icd10
H70.9,icd10
H70.2,icd10
H83.1,icd10
H83,icd10
H83.3,icd10
H83.0,icd10
H83.2,icd10
H72.1,icd10
H72.2,icd10
H72.8,icd10
H72,icd10
H65.3,icd10
H65.4,icd10
H90.3,icd10
H90.0,icd10
H90.7,icd10
H90.1,icd10
H90.4,icd10
H65.2,icd10
H65.0,icd10
H65.1,icd10
H66.0,icd10
H70.0,icd10
H61.3,icd10
H62.0,icd10
H67.0,icd10
H90.8,icd10
H90.6,icd10
H80.1,icd10
H80.0,icd10
H92.2,icd10
H92.0,icd10
H92,icd10
H92.1,icd10
H68.0,icd10
H68.1,icd10
H68,icd10
H65,icd10
H81.4,icd10
H72.0,icd10
H80.8,icd10
H80,icd10
H80.2,icd10
H73.1,icd10
H73.0,icd10
H74.3,icd10
H74.2,icd10
H81.1,icd10
H81.3,icd10
H82,icd10
H82.X,icd10
H73,icd10